Store,Cluster Manager,Division,Section,Department,Assort,Promo Type,Brand,MNF,Design No,Colour,RSP,Option,Size,Ref,Sales Qty,Stk Qty,Sales Value
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,CREAM,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTCREAM200,2XL/1.07 m,ADLADIES ETHNICKURTIKURTI SHORT,4,5,1000.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,CREAM,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTCREAM200,3XL/1.12 m,ADLADIES ETHNICKURTIKURTI SHORT,4,1,200.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,CREAM,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTCREAM200,L/97 cm,ADLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,CREAM,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTCREAM200,M/91 cm,ADLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,CREAM,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTCREAM200,XL/1.02 m,ADLADIES ETHNICKURTIKURTI SHORT,4,1,200.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,GREEN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTGREEN200,2XL/1.07 m,ADLADIES ETHNICKURTIKURTI SHORT,4,4,800.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,GREEN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTGREEN200,L/97 cm,ADLADIES ETHNICKURTIKURTI SHORT,4,1,200.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,GREEN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTGREEN200,M/91 cm,ADLADIES ETHNICKURTIKURTI SHORT,4,3,600.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,GREEN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTGREEN200,S/86 cm,ADLADIES ETHNICKURTIKURTI SHORT,4,4,800.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,GREEN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTGREEN200,XL/1.02 m,ADLADIES ETHNICKURTIKURTI SHORT,4,4,800.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,LAVENDER,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTLAVENDER200,2XL/1.07 m,ADLADIES ETHNICKURTIKURTI SHORT,4,4,800.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,LAVENDER,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTLAVENDER200,3XL/1.12 m,ADLADIES ETHNICKURTIKURTI SHORT,4,3,600.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,LAVENDER,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTLAVENDER200,S/86 cm,ADLADIES ETHNICKURTIKURTI SHORT,4,1,200.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,PINK,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTPINK200,2XL/1.07 m,ADLADIES ETHNICKURTIKURTI SHORT,4,5,1000.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,PINK,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTPINK200,3XL/1.12 m,ADLADIES ETHNICKURTIKURTI SHORT,4,4,800.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,PINK,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTPINK200,L/97 cm,ADLADIES ETHNICKURTIKURTI SHORT,4,6,1200.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,PINK,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTPINK200,M/91 cm,ADLADIES ETHNICKURTIKURTI SHORT,4,10,2000.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,PINK,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTPINK200,S/86 cm,ADLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,PINK,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTPINK200,XL/1.02 m,ADLADIES ETHNICKURTIKURTI SHORT,4,5,1000.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,PISTA,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTPISTA200,2XL/1.07 m,ADLADIES ETHNICKURTIKURTI SHORT,4,1,200.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,PISTA,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTPISTA200,3XL/1.12 m,ADLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,PISTA,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTPISTA200,M/91 cm,ADLADIES ETHNICKURTIKURTI SHORT,4,1,200.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,PISTA,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTPISTA200,S/86 cm,ADLADIES ETHNICKURTIKURTI SHORT,4,1,200.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,PISTA,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTPISTA200,XL/1.02 m,ADLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,BROWN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTBROWN200,2XL/1.07 m,ALLADIES ETHNICKURTIKURTI SHORT,8,1,200.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,BROWN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTBROWN200,3XL/1.12 m,ALLADIES ETHNICKURTIKURTI SHORT,8,1,200.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,LAVENDER,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTLAVENDER200,2XL/1.07 m,ALLADIES ETHNICKURTIKURTI SHORT,8,2,400.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,LAVENDER,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTLAVENDER200,L/97 cm,ALLADIES ETHNICKURTIKURTI SHORT,8,1,200.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,LAVENDER,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTLAVENDER200,S/86 cm,ALLADIES ETHNICKURTIKURTI SHORT,8,1,200.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,MUSTARD,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTMUSTARD200,2XL/1.07 m,ALLADIES ETHNICKURTIKURTI SHORT,8,2,400.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,MUSTARD,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTMUSTARD200,3XL/1.12 m,ALLADIES ETHNICKURTIKURTI SHORT,8,1,200.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,MUSTARD,250,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTMUSTARD250,4XL/1.17 m,ALLADIES ETHNICKURTIKURTI SHORT,8,2,500.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,NAVY,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTNAVY200,2XL/1.07 m,ALLADIES ETHNICKURTIKURTI SHORT,8,1,200.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,NAVY,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTNAVY200,L/97 cm,ALLADIES ETHNICKURTIKURTI SHORT,8,3,600.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,NAVY,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTNAVY200,M/91 cm,ALLADIES ETHNICKURTIKURTI SHORT,8,3,600.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,NAVY,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTNAVY200,S/86 cm,ALLADIES ETHNICKURTIKURTI SHORT,8,2,400.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,NAVY,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTNAVY200,XL/1.02 m,ALLADIES ETHNICKURTIKURTI SHORT,8,1,200.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,NAVY,250,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTNAVY250,4XL/1.17 m,ALLADIES ETHNICKURTIKURTI SHORT,8,2,500.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,NAVY,250,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTNAVY250,5XL/1.21 m,ALLADIES ETHNICKURTIKURTI SHORT,8,1,250.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,PINK,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTPINK200,2XL/1.07 m,ALLADIES ETHNICKURTIKURTI SHORT,8,3,600.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,PINK,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTPINK200,3XL/1.12 m,ALLADIES ETHNICKURTIKURTI SHORT,8,1,200.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,PINK,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTPINK200,L/97 cm,ALLADIES ETHNICKURTIKURTI SHORT,8,2,400.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,PINK,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTPINK200,M/91 cm,ALLADIES ETHNICKURTIKURTI SHORT,8,3,600.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,PINK,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTPINK200,S/86 cm,ALLADIES ETHNICKURTIKURTI SHORT,8,1,200.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,PINK,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTPINK200,XL/1.02 m,ALLADIES ETHNICKURTIKURTI SHORT,8,4,800.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,RED,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTRED200,M/91 cm,ALLADIES ETHNICKURTIKURTI SHORT,8,1,200.00
AL,Visal Kumar,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,WHITE,250,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTWHITE250,5XL/1.21 m,ALLADIES ETHNICKURTIKURTI SHORT,8,1,250.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,BROWN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTBROWN200,2XL/1.07 m,APLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,BROWN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTBROWN200,L/97 cm,APLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,BROWN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTBROWN200,M/91 cm,APLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,BROWN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTBROWN200,XL/1.02 m,APLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,GREEN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTGREEN200,2XL/1.07 m,APLADIES ETHNICKURTIKURTI SHORT,4,6,1200.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,GREEN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTGREEN200,3XL/1.12 m,APLADIES ETHNICKURTIKURTI SHORT,4,4,800.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,GREEN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTGREEN200,L/97 cm,APLADIES ETHNICKURTIKURTI SHORT,4,5,1000.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,GREEN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTGREEN200,M/91 cm,APLADIES ETHNICKURTIKURTI SHORT,4,4,800.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,GREEN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTGREEN200,S/86 cm,APLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,GREEN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTGREEN200,XL/1.02 m,APLADIES ETHNICKURTIKURTI SHORT,4,9,1800.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,GREY,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTGREY200,2XL/1.07 m,APLADIES ETHNICKURTIKURTI SHORT,4,4,800.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,GREY,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTGREY200,3XL/1.12 m,APLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,GREY,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTGREY200,L/97 cm,APLADIES ETHNICKURTIKURTI SHORT,4,3,600.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,GREY,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTGREY200,M/91 cm,APLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,GREY,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTGREY200,S/86 cm,APLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,GREY,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTGREY200,XL/1.02 m,APLADIES ETHNICKURTIKURTI SHORT,4,3,600.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,LAVENDER,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTLAVENDER200,2XL/1.07 m,APLADIES ETHNICKURTIKURTI SHORT,4,3,600.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,LAVENDER,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTLAVENDER200,3XL/1.12 m,APLADIES ETHNICKURTIKURTI SHORT,4,1,200.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,LAVENDER,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTLAVENDER200,XL/1.02 m,APLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,MUSTARD,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTMUSTARD200,2XL/1.07 m,APLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,MUSTARD,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTMUSTARD200,3XL/1.12 m,APLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,MUSTARD,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTMUSTARD200,L/97 cm,APLADIES ETHNICKURTIKURTI SHORT,4,4,800.00
AP,Manish Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,MUSTARD,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTMUSTARD200,S/86 cm,APLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
